File Name,CC Value
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9950 4.png,99.73788560563113
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9951 2.png,94.36132139970186
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9951 4.png,94.36132139970186
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9952 2.png,89.65869768046107
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9952 4.png,89.65869768046107
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9953 2.png,94.23813362150416
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9953 4.png,94.23813362150416
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9954 2.png,95.8318324436256
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9954 4.png,95.8318324436256
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9955 2.png,84.2531982893466
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9955 4.png,84.2531982893466
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9956 2.png,90.87541893686488
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9956 4.png,90.87541893686488
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9957 2.png,91.81423775142773
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9957 4.png,91.81423775142773
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9958 2.png,85.0803197436382
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9958 4.png,85.0803197436382
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9959 2.png,94.71229174540187
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9959 4.png,94.71229174540187
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9960 2.png,83.47946093946838
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9960 4.png,83.47946093946838
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9961 2.png,84.95358888154027
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9961 4.png,84.95358888154027
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9962 2.png,90.52718791992106
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9962 4.png,90.52718791992106
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9933 2.png,94.60740169910557
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9933 4.png,94.60740169910557
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9934 2.png,90.42990894274377
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9934 4.png,90.42990894274377
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9935 2.png,90.15874000062988
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9935 4.png,90.15874000062988
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9936 2.png,89.14817373708743
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9936 4.png,89.14817373708743
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9937 2.png,79.53352347883597
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9937 4.png,79.53352347883597
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9938 2.png,83.50356539220627
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9938 4.png,83.50356539220627
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9939 2.png,90.08397436906861
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9939 4.png,90.08397436906861
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9940 2.png,90.66525336986646
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9940 4.png,90.66525336986646
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9941 2.png,92.37985993008314
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9941 4.png,92.37985993008314
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9942 2.png,82.92664963361888
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9942 4.png,82.92664963361888
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9943 2.png,92.00689293850256
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9943 4.png,92.00689293850256
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9944 2.png,87.78053515001679
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9944 4.png,87.78053515001679
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9945 2.png,90.88477694318469
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9945 4.png,90.88477694318469
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9946 2.png,87.59496613074242
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9946 4.png,87.59496613074242
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9947 2.png,90.51206420068027
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9947 4.png,90.51206420068027
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9948 2.png,91.44411670918367
./vignoles_output\Cluster-Closure-7-31-23\ER3\IMG_9948 4.png,91.44411670918367
